System	Subsystem	Pathways	core >= 3 (706)	non-EG (524)
3. Environmental Information Processing	3.2 Signal transduction	hsa04151: PI3K-Akt signaling pathway	0	0.82
3. Environmental Information Processing	3.2 Signal transduction	hsa04152: AMPK signaling pathway	0.23	0.06
3. Environmental Information Processing	3.2 Signal transduction	hsa04310: Wnt signaling pathway	0.02	0.02
3. Environmental Information Processing	3.2 Signal transduction	hsa04330: Notch signaling pathway	0.15	0.28
3. Environmental Information Processing	3.2 Signal transduction	hsa04340: Hedgehog signaling pathway	0	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04350: TGF-beta signaling pathway	0.43	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04370: VEGF signaling pathway	0	0.28
3. Environmental Information Processing	3.2 Signal transduction	hsa04371: Apelin signaling pathway	0.15	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04390: Hippo signaling pathway	0.1	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04392: Hippo signaling pathway - multiple species	0	0
3. Environmental Information Processing	3.2 Signal transduction	hsa04630: JAK-STAT signaling pathway	0	3.31
3. Environmental Information Processing	3.2 Signal transduction	hsa04668: TNF signaling pathway	0	0.07
3. Environmental Information Processing	3.3 Signaling molecules and interaction	hsa04060: Cytokine-cytokine receptor interaction	0	3.43
3. Environmental Information Processing	3.3 Signaling molecules and interaction	hsa04061: Viral protein interaction with cytokine and cytokine receptor	0	0
3. Environmental Information Processing	3.3 Signaling molecules and interaction	hsa04080: Neuroactive ligand-receptor interaction	0	4.46
3. Environmental Information Processing	3.3 Signaling molecules and interaction	hsa04512: ECM-receptor interaction	0	0.86
3. Environmental Information Processing	3.3 Signaling molecules and interaction	hsa04514: Cell adhesion molecules	0	0.03
4. Cellular Processes	4.1 Transport and catabolism	hsa04136: Autophagy - other	0.99	0
4. Cellular Processes	4.1 Transport and catabolism	hsa04137: Mitophagy - animal	0.1	0
4. Cellular Processes	4.1 Transport and catabolism	hsa04140: Autophagy - animal	0.15	0
4. Cellular Processes	4.1 Transport and catabolism	hsa04142: Lysosome	0.4	0
4. Cellular Processes	4.1 Transport and catabolism	hsa04144: Endocytosis	0.58	0
4. Cellular Processes	4.1 Transport and catabolism	hsa04145: Phagosome	1.97	0
4. Cellular Processes	4.1 Transport and catabolism	hsa04146: Peroxisome	0.06	0.16
4. Cellular Processes	4.2 Cell growth and death	hsa04110: Cell cycle	9.12	0
4. Cellular Processes	4.2 Cell growth and death	hsa04114: Oocyte meiosis	4.09	0.05
4. Cellular Processes	4.2 Cell growth and death	hsa04115: p53 signaling pathway	1.1	0
4. Cellular Processes	4.2 Cell growth and death	hsa04210: Apoptosis	0.05	0
4. Cellular Processes	4.2 Cell growth and death	hsa04215: Apoptosis - multiple species	0.39	0
4. Cellular Processes	4.2 Cell growth and death	hsa04216: Ferroptosis	0.28	0
4. Cellular Processes	4.2 Cell growth and death	hsa04217: Necroptosis	0.02	1.58
4. Cellular Processes	4.2 Cell growth and death	hsa04218: Cellular senescence	0.42	0.02
4. Cellular Processes	4.3 Cellular community - eukaryotes	hsa04510: Focal adhesion	0	0.01
4. Cellular Processes	4.3 Cellular community - eukaryotes	hsa04520: Adherens junction	0	0
4. Cellular Processes	4.3 Cellular community - eukaryotes	hsa04530: Tight junction	0.17	0.02
4. Cellular Processes	4.3 Cellular community - eukaryotes	hsa04540: Gap junction	0.21	0.13
4. Cellular Processes	4.3 Cellular community - eukaryotes	hsa04550: Signaling pathways regulating pluripotency of stem cells	0.01	0.03
4. Cellular Processes	4.5 Cell motility	hsa04810: Regulation of actin cytoskeleton	0	0
5. Organismal Systems	5.1 Immune system	hsa04062: Chemokine signaling pathway	0	0
5. Organismal Systems	5.1 Immune system	hsa04610: Complement and coagulation cascades	0	1.35
5. Organismal Systems	5.1 Immune system	hsa04611: Platelet activation	0	0
5. Organismal Systems	5.1 Immune system	hsa04612: Antigen processing and presentation	0	0.54
5. Organismal Systems	5.1 Immune system	hsa04613: Neutrophil extracellular trap formation	0	0.18
5. Organismal Systems	5.1 Immune system	hsa04620: Toll-like receptor signaling pathway	0	2.78
5. Organismal Systems	5.1 Immune system	hsa04621: NOD-like receptor signaling pathway	0	2.03
5. Organismal Systems	5.1 Immune system	hsa04622: RIG-I-like receptor signaling pathway	0	3.55
5. Organismal Systems	5.1 Immune system	hsa04623: Cytosolic DNA-sensing pathway	3.94	3.27
5. Organismal Systems	5.1 Immune system	hsa04625: C-type lectin receptor signaling pathway	0	0.68
5. Organismal Systems	5.1 Immune system	hsa04640: Hematopoietic cell lineage	0	0
5. Organismal Systems	5.1 Immune system	hsa04650: Natural killer cell mediated cytotoxicity	0	3.12
5. Organismal Systems	5.1 Immune system	hsa04657: IL-17 signaling pathway	0.18	0.39
5. Organismal Systems	5.1 Immune system	hsa04658: Th1 and Th2 cell differentiation	0	0.81
5. Organismal Systems	5.1 Immune system	hsa04659: Th17 cell differentiation	0	1.06
5. Organismal Systems	5.1 Immune system	hsa04660: T cell receptor signaling pathway	0	0.09
5. Organismal Systems	5.1 Immune system	hsa04662: B cell receptor signaling pathway	0	0.16
5. Organismal Systems	5.1 Immune system	hsa04664: Fc epsilon RI signaling pathway	0	0.22
5. Organismal Systems	5.1 Immune system	hsa04666: Fc gamma R-mediated phagocytosis	0.17	0
5. Organismal Systems	5.1 Immune system	hsa04670: Leukocyte transendothelial migration	0	0.07
5. Organismal Systems	5.1 Immune system	hsa04672: Intestinal immune network for IgA production	0	0.37
5. Organismal Systems	5.10 Environmental adaptation	hsa04710: Circadian rhythm	0.43	0
5. Organismal Systems	5.10 Environmental adaptation	hsa04713: Circadian entrainment	0	0
5. Organismal Systems	5.10 Environmental adaptation	hsa04714: Thermogenesis	0.19	0.02
5. Organismal Systems	5.2 Endocrine system	hsa03320: PPAR signaling pathway	0	0.19
5. Organismal Systems	5.2 Endocrine system	hsa04614: Renin-angiotensin system	0	0
5. Organismal Systems	5.2 Endocrine system	hsa04910: Insulin signaling pathway	0.05	0.04
5. Organismal Systems	5.2 Endocrine system	hsa04911: Insulin secretion	0	0.89
5. Organismal Systems	5.2 Endocrine system	hsa04912: GnRH signaling pathway	0	0
5. Organismal Systems	5.2 Endocrine system	hsa04913: Ovarian steroidogenesis	0	0.34
5. Organismal Systems	5.2 Endocrine system	hsa04914: Progesterone-mediated oocyte maturation	3.41	0
5. Organismal Systems	5.2 Endocrine system	hsa04915: Estrogen signaling pathway	0	1.47
5. Organismal Systems	5.2 Endocrine system	hsa04916: Melanogenesis	0	0.09
5. Organismal Systems	5.2 Endocrine system	hsa04917: Prolactin signaling pathway	0	0
5. Organismal Systems	5.2 Endocrine system	hsa04918: Thyroid hormone synthesis	0	1.04
5. Organismal Systems	5.2 Endocrine system	hsa04919: Thyroid hormone signaling pathway	1.09	0
5. Organismal Systems	5.2 Endocrine system	hsa04920: Adipocytokine signaling pathway	0	0.21
5. Organismal Systems	5.2 Endocrine system	hsa04921: Oxytocin signaling pathway	0	0.12
5. Organismal Systems	5.2 Endocrine system	hsa04922: Glucagon signaling pathway	0.12	0.66
5. Organismal Systems	5.2 Endocrine system	hsa04923: Regulation of lipolysis in adipocytes	0	0
5. Organismal Systems	5.2 Endocrine system	hsa04924: Renin secretion	0	0.64
5. Organismal Systems	5.2 Endocrine system	hsa04925: Aldosterone synthesis and secretion	0	0.1
5. Organismal Systems	5.2 Endocrine system	hsa04926: Relaxin signaling pathway	0	0.04
5. Organismal Systems	5.2 Endocrine system	hsa04927: Cortisol synthesis and secretion	0	0.24
5. Organismal Systems	5.2 Endocrine system	"hsa04928: Parathyroid hormone synthesis, secretion and action"	0	0.66
5. Organismal Systems	5.2 Endocrine system	hsa04929: GnRH secretion	0	0.24
5. Organismal Systems	5.2 Endocrine system	"hsa04935: Growth hormone synthesis, secretion and action"	0	0.24
5. Organismal Systems	5.3 Circulatory system	hsa04260: Cardiac muscle contraction	0.86	0.45
5. Organismal Systems	5.3 Circulatory system	hsa04261: Adrenergic signaling in cardiomyocytes	0.03	0.03
5. Organismal Systems	5.3 Circulatory system	hsa04270: Vascular smooth muscle contraction	0	0.04
5. Organismal Systems	5.4 Digestive system	hsa04970: Salivary secretion	0	0.12
5. Organismal Systems	5.4 Digestive system	hsa04971: Gastric acid secretion	0	0.55
5. Organismal Systems	5.4 Digestive system	hsa04972: Pancreatic secretion	0.03	2.9
5. Organismal Systems	5.4 Digestive system	hsa04973: Carbohydrate digestion and absorption	0	2.21
5. Organismal Systems	5.4 Digestive system	hsa04974: Protein digestion and absorption	0	1.55
5. Organismal Systems	5.4 Digestive system	hsa04975: Fat digestion and absorption	0	2.9
5. Organismal Systems	5.4 Digestive system	hsa04976: Bile secretion	0	1.79
5. Organismal Systems	5.4 Digestive system	hsa04977: Vitamin digestion and absorption	0	0.76
5. Organismal Systems	5.4 Digestive system	hsa04978: Mineral absorption	0	0.28
5. Organismal Systems	5.4 Digestive system	hsa04979: Cholesterol metabolism	0	0.94
5. Organismal Systems	5.5 Excretory system	hsa04960: Aldosterone-regulated sodium reabsorption	0	0
5. Organismal Systems	5.5 Excretory system	hsa04961: Endocrine and other factor-regulated calcium reabsorption	0.56	0.32
5. Organismal Systems	5.5 Excretory system	hsa04962: Vasopressin-regulated water reabsorption	1.79	0
5. Organismal Systems	5.5 Excretory system	hsa04964: Proximal tubule bicarbonate reclamation	0	0
5. Organismal Systems	5.5 Excretory system	hsa04966: Collecting duct acid secretion	3.58	0.67
5. Organismal Systems	5.6 Nervous system	hsa04720: Long-term potentiation	0	0.22
5. Organismal Systems	5.6 Nervous system	hsa04721: Synaptic vesicle cycle	3.86	0.53
5. Organismal Systems	5.6 Nervous system	hsa04722: Neurotrophin signaling pathway	0	0
5. Organismal Systems	5.6 Nervous system	hsa04723: Retrograde endocannabinoid signaling	0	0.64
5. Organismal Systems	5.6 Nervous system	hsa04724: Glutamatergic synapse	0	0.6
5. Organismal Systems	5.6 Nervous system	hsa04725: Cholinergic synapse	0	0.07
5. Organismal Systems	5.6 Nervous system	hsa04726: Serotonergic synapse	0	1.37
5. Organismal Systems	5.6 Nervous system	hsa04727: GABAergic synapse	0.05	0.85
5. Organismal Systems	5.6 Nervous system	hsa04728: Dopaminergic synapse	0.01	0.04
5. Organismal Systems	5.6 Nervous system	hsa04730: Long-term depression	0.13	0
5. Organismal Systems	5.7 Sensory system	hsa04740: Olfactory transduction	0	13.87
5. Organismal Systems	5.7 Sensory system	hsa04742: Taste transduction	0	5.52
5. Organismal Systems	5.7 Sensory system	hsa04744: Phototransduction	0	1.44
5. Organismal Systems	5.7 Sensory system	hsa04750: Inflammatory mediator regulation of TRP channels	0	0.1
5. Organismal Systems	5.8 Development and regeneration	hsa04360: Axon guidance	0	0.07
5. Organismal Systems	5.8 Development and regeneration	hsa04380: Osteoclast differentiation	0	0.21
5. Organismal Systems	5.9 Aging	hsa04211: Longevity regulating pathway	0.05	0
5. Organismal Systems	5.9 Aging	hsa04213: Longevity regulating pathway - multiple species	0	0
